xlinkID	xlink_1	xlink_2	xlink_3
1013	53630	28859	51975
53630	1013	65754	24253
63420	32011	23965	8435
32011	63420	51952	42777
32902	17264	748	50849
17264	32902	44735	54675
14375	10837	9139	44798
10837	14375	19606	53140
11998	58239	37232	42850
58239	11998	39825	72365
33332	17920	43432	24785
17920	33332	69213	79299
49713	36736	35547	63249
36736	49713	42011	78335
80337	26406	80337	80337
26406	80337	77730	31194
18562	43574	32584	44848
43574	18562	30295	80580
29567	1559	68910	63024
1559	29567	63968	74624
10214	56061	2598	21712
56061	10214	33852	37886
33539	14839	41869	41869
14839	33539	6638	10959
1165	24359	78934	47198
24359	1165	1885	25492
50589	39104	23240	77323
39104	50589	30985	65881
60988	76437	76437	29249
76437	60988	60988	9133
2852	53945	79957	11142
53945	2852	53387	37190
46056	25503	61695	52474
25503	46056	21117	78467
44375	55522	57274	41549
55522	44375	7285	23814
55935	80446	62867	1405
80446	55935	48091	17177
64232	76051	42959	56947
76051	64232	17244	25160
45451	16406	44955	41778
16406	45451	4073	43727
71266	41798	77995	3174
41798	71266	9712	60446
46447	18818	65756	10915
18818	46447	77368	68000
11352	19996	25091	25270
19996	11352	70354	46330
32251	54346	32221	51837
54346	32251	62283	36401
2496	53698	2459	64343
53698	2496	61251	44810
45381	31499	2952	38100
31499	45381	57820	23284
66499	3135	2434	20824
3135	66499	59269	15268
78132	78129	40252	44226
78129	78132	20562	31532
48434	50118	46734	25573
50118	48434	24046	42372
41368	13315	58071	12393
13315	41368	76190	10063
802	28516	55761	61304
28516	802	21261	15780
76871	75251	60409	46123
75251	76871	20946	30610
74267	55261	24936	30376
55261	74267	46475	74020
46639	54855	644	30636
54855	46639	61027	2245
24461	75280	12279	37892
75280	24461	55206	74408
77896	31122	78298	55229
31122	77896	50931	75579
37634	26301	46325	7078
26301	37634	73455	38686
6922	57394	41522	3044
57394	6922	3196	52282
9145	63813	56489	67234
63813	9145	56526	69572
43673	57025	18806	30770
57025	43673	16981	8839
37702	34483	45579	15170
34483	37702	39097	23287
40995	22957	72502	22957
22957	40995	1873	40995
67475	35130	68871	67584
35130	67475	71777	21644
62553	44768	78649	78649
44768	62553	73441	69109
65661	65500	26482	41594
65500	65661	69642	29168
10499	41171	31142	59460
41171	10499	27728	21136
9583	11999	74042	59174
11999	9583	39421	68612
1095	39201	61314	27130
39201	1095	52336	23253
36001	6013	57414	26954
6013	36001	10024	65514
55451	70371	59245	72632
70371	55451	29869	75158
24775	18841	24775	24775
18841	24775	48341	54429
2836	2517	28701	13394
2517	2836	13572	69097
19058	56190	72512	33322
56190	19058	74507	32326
78293	68039	68039	39154
68039	78293	25706	78293
61101	19705	30671	60170
19705	61101	25202	26857
14373	10867	6407	4023
10867	14373	9064	73026
67756	24802	17854	23816
24802	67756	23816	51058
32589	72200	77723	34249
72200	32589	28833	35107
4260	73096	57521	77968
73096	4260	27651	50021
63531	39139	12900	35797
39139	63531	19799	37523
75244	4235	69890	27898
4235	75244	67637	26972
67544	5123	31813	53670
5123	67544	887	43556
32972	58510	49494	76950
58510	32972	2614	50456
57919	78688	78688	25826
78688	57919	7547	57919
69811	29423	32102	73489
29423	69811	34629	18338
44303	53172	55434	47547
53172	44303	1810	19897
60844	14948	46286	70055
14948	60844	29914	12547
57276	13157	69666	11341
13157	57276	25498	8432
11785	33185	45192	13252
33185	11785	24521	43358
27664	60092	59187	3168
60092	27664	15667	59825
74519	4825	59564	43232
4825	74519	16679	34216
27486	77196	2979	47857
77196	27486	56689	73533
24446	3676	4738	75922
3676	24446	45210	76652
29605	59962	45253	78035
59962	29605	77871	7169
16782	51179	58394	13822
51179	16782	15961	15961
14651	7217	76280	28525
7217	14651	14115	69742
51939	25195	73378	53903
25195	51939	22261	57042
10708	51929	42058	73706
51929	10708	6047	37083
2198	43159	61752	26112
43159	2198	51378	0
8109	7071	64192	23619
7071	8109	69074	63001
37027	25264	58171	20217
25264	37027	25264	25264
78219	32943	30075	55965
32943	78219	79148	57437
18872	18872	18872	33714
7427	11118	45088	58489
11118	7427	3418	73968
29743	34643	36187	32752
34643	29743	67183	18377
41947	9203	11691	27444
9203	41947	28260	21902
46038	24724	55079	7216
24724	46038	18261	26242
16756	45384	343	26254
45384	16756	26394	60508
10030	37526	74053	69520
37526	10030	12829	44369
26615	29282	66902	72869
29282	26615	26369	69440
8342	65700	25667	26696
65700	8342	11935	33478
31537	12074	51389	0
12074	31537	8459	48296
41891	56845	54962	38751
56845	41891	15150	70569
35222	34308	38042	24022
34308	35222	44386	24030
9625	19967	43698	43186
19967	9625	50491	68623
32951	70000	19045	30642
70000	32951	19045	62600
41159	14333	51354	64308
14333	41159	14333	14333
35000	45173	3805	48580
45173	35000	18402	16413
57393	46436	44544	67805
46436	57393	19930	1795
37716	53655	63856	1736
53655	37716	79068	71460
5572	15023	39002	36908
15023	5572	46843	40993
72876	2759	71973	30275
2759	72876	65581	4349
38035	48482	28167	54417
48482	38035	20326	33980
64976	16259	8961	3487
16259	64976	75539	34142
54124	8442	35423	11425
8442	54124	50701	22809
15971	59	21615	59
59	15971	14872	15971
81	919	4198	49444
919	81	30768	476
71808	71808	71808	41683
30352	27283	29178	58683
27283	30352	27283	27283
78905	27210	76681	58999
27210	78905	60511	38139
62620	23319	61161	17089
23319	62620	22525	57700
9601	14012	7084	56335
14012	9601	76249	22242
72665	25148	17516	26116
25148	72665	36382	58018
51016	46981	30663	69194
46981	51016	60970	9171
54057	33293	56628	74273
33293	54057	37775	45968
15814	17815	24365	60320
17815	15814	40655	16627
32680	19196	56169	32367
19196	32680	24498	3209
2143	19578	47393	32928
19578	2143	47393	40628
58053	64125	75033	9641
64125	58053	28670	28920
11372	6893	58178	60611
6893	11372	12826	44168
11554	44624	70925	0
44624	11554	44624	44624
54525	56608	23929	73908
56608	54525	6657	77072
76224	57568	45390	27448
57568	76224	9438	80245
70348	24680	73974	5099
24680	70348	3827	63058
60509	8756	76046	62895
8756	60509	67413	59389
64722	58011	34611	884
58011	64722	53959	63781
32107	2752	40189	47089
2752	32107	4632	4632
41934	29694	72046	3235
29694	41934	68612	59174
79788	11392	36472	11689
