xlinkID	xlink_1	xlink_2	xlink_3	xlink_4
13189	14579	8643	7752	12086
6993	15984	5738	1671	9915
1980	3222	283	11724	13384
3222	1980	5738	8972	11915
2597	15651	10346	13697	15341
15651	2597	688	3569	1513
1328	5713	8107	3427	6686
248	5915	14822	14060	2331
5915	248	5335	4894	9250
5400	12029	9832	11465	5930
12029	5400	1166	9321	8394
14511	10276	3328	10882	14255
10276	14511	11132	7066	576
8132	3622	13100	1860	13473
3622	8132	12226	537	16003
16038	1612	14749	15188	12131
1612	16038	12131	12131	11111
8026	10209	2873	7223	10525
10209	8026	1418	10209	10209
6909	2012	13908	16031	12391
2012	6909	6399	15720	3632
13719	14269	9077	2873	5659
8104	5379	5146	15562	14653
11102	11102	11102	7204	9908
14802	5761	11338	5761	12341
5761	14802	14802	5761	5761
2088	11757	3009	3134	8394
11757	2088	238	12611	10157
11658	13347	14649	10769	7344
238	11757	2287	11597	14919
9077	13719	14649	11032	11732
3707	14741	14	12339	12827
14741	3707	6536	6769	6900
6315	9355	10592	2320	10725
9355	6315	10858	13335	13965
13849	10592	12475	7184	11591
601	771	606	11796	14119
771	601	5936	10671	134
12475	13849	14230	7089	7823
14247	1193	15097	1247	2789
1193	14247	9438	14046	8686
