ID X Y Z
188 15.241973 84.669297 77.366683
189 15.605514 84.702234 88.875330
190 15.629791 84.968890 99.758566
191 14.668678 94.874205 99.453543
192 14.709812 94.417798 10.767905
193 15.151704 95.424995 21.695268
194 14.641614 95.159911 33.086947
195 14.728145 95.092041 44.801107
196 14.954256 94.307162 55.920105
197 14.352143 94.941514 67.264865
198 15.241973 94.669296 77.366682
199 15.605514 94.702233 88.875330
200 15.629791 94.968889 99.758566
201 24.668677 4.874205 99.453543
202 24.709811 4.417797 10.767905
203 25.151704 5.424994 21.695268
204 24.641614 5.159910 33.086947
205 24.728145 5.092040 44.801108
206 24.954255 4.307161 55.920105
207 24.352143 4.941512 67.264865
208 25.241972 4.669295 77.366682
209 25.605514 4.702232 88.875330
210 25.629790 4.968888 99.758566
211 24.668677 14.874204 99.453542
212 24.709811 14.417796 10.767905
213 25.151703 15.424993 21.695268
214 24.641614 15.159909 33.086947
215 24.728144 15.092039 44.801108
216 24.954255 14.307160 55.920105
217 24.352143 14.941512 67.264865
218 25.241973 14.669295 77.366682
219 25.605514 14.702231 88.875330
220 25.629790 14.968887 99.758566
221 24.668677 24.874203 99.453542
222 24.709811 24.417795 10.767905
223 25.151703 25.424992 21.695268
224 24.641614 25.159908 33.086948
225 24.728144 25.092039 44.801108
226 24.954255 24.307160 55.920104
227 24.352143 24.941511 67.264865
228 25.241973 24.669294 77.366682
229 25.605514 24.702230 88.875331
230 25.629790 24.968886 99.758566
231 24.668677 34.874204 99.453542
232 24.709811 34.417795 10.767905
233 25.151704 35.424993 21.695268
234 24.641614 35.159908 33.086948
235 24.728144 35.092039 44.801107
236 24.954256 34.307160 55.920104
237 24.352143 34.941512 67.264865
238 25.241973 34.669295 77.366682
239 25.605514 34.702230 88.875331
240 25.629790 34.968887 99.758566
241 24.668677 44.874204 99.453543
242 24.709811 44.417796 10.767905
243 25.151704 45.424994 21.695268
244 24.641614 45.159909 33.086948
245 24.728144 45.092040 44.801107
246 24.954256 44.307161 55.920104
247 24.352142 44.941512 67.264865
248 25.241973 44.669296 77.366682
249 25.605514 44.702231 88.875331
250 25.629791 44.968888 99.758566
251 24.668677 54.874205 99.453543
252 24.709811 54.417798 10.767905
253 25.151704 55.424995 21.695268
254 24.641614 55.159910 33.086948
255 24.728145 55.092041 44.801107
256 24.954256 54.307162 55.920104
257 24.352143 54.941513 67.264865
258 25.241973 54.669297 77.366682
259 25.605514 54.702232 88.875331
260 25.629790 54.968889 99.758566
261 24.668677 64.874206 99.453543
262 24.709811 64.417799 10.767905
263 25.151704 65.424996 21.695268
264 24.641614 65.159911 33.086948
265 24.728145 65.092042 44.801107
266 24.954256 64.307163 55.920104
267 24.352143 64.941514 67.264865
268 25.241973 64.669297 77.366682
269 25.605513 64.702234 88.875331
270 25.629790 64.968890 99.758567
271 24.668677 74.874207 99.453543
272 24.709811 74.417800 10.767905
273 25.151704 75.424996 21.695268
274 24.641613 75.159912 33.086948
275 24.728145 75.092042 44.801107
276 24.954256 74.307163 55.920105
277 24.352142 74.941514 67.264865
278 25.241973 74.669298 77.366683
279 25.605513 74.702234 88.875331
280 25.629790 74.968890 99.758566
281 24.668677 84.874206 99.453543
282 24.709811 84.417799 10.767905
283 25.151704 85.424996 21.695268
284 24.641614 85.159912 33.086948
285 24.728145 85.092042 44.801107
286 24.954256 84.307163 55.920105
287 24.352143 84.941514 67.264865
288 25.241973 84.669297 77.366682
289 25.605513 84.702234 88.875330
290 25.629790 84.968890 99.758566
291 24.668677 94.874206 99.453543
