42.1800	106.7344	40.9683
100.7348	237.3866	3.5076
4.9637	201.8049	83.1064
166.2965	170.1747	209.2610
209.1416	207.0577	159.8189
38.7963	206.4149	44.5062
82.4077	140.6933	201.8274
17.3720	31.0366	9.1391
30.1335	110.9352	25.3898
250.2240	207.7475	99.1926
186.7849	3.7624	192.3889
233.7803	17.3542	27.2732
217.8515	81.4107	128.7878
240.9782	5.2089	252.5555
57.0970	15.0487	210.6126
69.8881	141.3835	64.2733
233.9624	241.3352	113.6155
29.1360	168.8896	158.3841
221.6456	142.0395	82.3126
246.0629	70.7532	51.7239
193.5835	136.4367	92.8920
150.3729	178.5539	80.0729
83.9049	201.1685	59.4394
3.1057	68.5641	241.3192
21.4194	53.1326	81.6061
14.7582	170.0351	135.6497
247.5569	213.5884	120.4725
93.0338	174.7618	120.0653
146.0611	212.4398	68.9656
87.7691	26.3129	18.5404
26.3132	250.2536	93.2422
181.0650	254.7848	152.8390
28.7402	126.9544	84.7280
222.3452	214.2659	175.2635
244.0217	0.2498	254.9500
227.4586	137.5763	110.1675
123.3863	41.3152	157.7216
17.4386	76.4590	85.6365
72.1344	233.8595	231.7374
157.1293	14.3342	25.6203
107.2957	10.4824	83.3280
106.9327	76.0699	33.6325
28.6751	106.6299	242.3323
165.2760	162.8324	182.3846
157.9237	226.5701	99.2037
210.9695	42.3438	38.8140
6.7263	50.4660	26.6532
23.2226	203.7835	75.9168
207.2276	131.7938	69.9944
205.5083	192.5840	92.0922
170.8169	9.9267	96.5635
116.2665	153.9537	120.0519
154.5719	208.0924	252.7409
31.7193	243.5857	111.0472
206.1029	174.3445	245.2257
79.0647	79.9636	14.1878
123.4213	48.3278	2.7566
138.7049	172.3358	165.1904
251.4118	84.2098	241.3687
181.2839	218.1202	101.5771
5.7758	63.7667	10.4613
8.7557	188.4566	117.1754
177.1940	87.3072	186.2994
231.7977	80.7388	255.5007
152.5394	121.0980	91.8819
232.2417	195.5980	214.3649
31.8331	241.5168	220.1445
2.6287	64.2188	21.5356
91.4512	183.2483	18.9884
117.5995	170.8001	13.0669
78.6032	65.9763	216.7873
23.0240	200.8038	151.1198
184.5315	131.5718	57.0701
205.4088	222.8202	153.8764
118.6142	159.2047	243.1390
118.4069	97.6897	68.6160
157.2355	3.9306	188.7326
13.0603	155.8938	160.9745
89.3284	191.7124	131.6999
162.1919	148.9881	127.2303
147.4337	140.2497	154.5127
230.8558	84.2074	11.1155
182.6343	170.6330	186.4515
108.1942	101.5632	190.1653
39.3521	104.3364	223.0687
37.1164	218.4430	140.4664
88.9162	154.2618	197.2125
70.9446	113.7314	203.6256
109.7613	9.4348	201.7974
220.5107	231.9762	64.8729
30.2701	122.1107	101.8287
1.5906	9.0197	35.7764
66.5196	104.2399	144.9835
224.3290	177.2660	168.4333
176.8808	63.6485	69.3810
6.2650	225.8185	51.2800
16.4847	76.8235	192.3291
129.2990	7.1827	128.5302
107.2451	146.5012	209.5227
162.7918	148.9875	217.1356
98.4760	209.8127	38.7581
97.9800	211.2071	129.1544
196.5854	13.2223	148.2883
183.5860	43.5509	145.6053
137.7068	90.1099	168.9423
238.2272	3.5934	196.9276
249.0076	114.3961	75.1040
126.8363	165.7013	28.4320
142.1542	59.9812	42.0903
173.2353	60.2950	222.7758
46.5690	171.7446	80.7134
134.2753	175.1868	78.6021
135.4287	35.2494	233.4030
224.3360	174.7568	146.4257
46.9636	222.7321	219.5964
81.8666	236.1727	131.5411
251.5364	252.6678	30.8428
119.4495	18.8612	79.3600
205.5695	124.9619	178.5447
157.4178	25.4010	114.0402
232.7882	104.1527	214.6483
106.7616	255.8171	53.8642
182.9298	85.0470	243.4129
49.5379	51.2996	205.2287
