0	15234	0	0	6512
1	14624	14613	6452	8399
2	3071	8317	2005	5042
3	607	12986	4301	5894
4	73	620	3958	6181
5	8383	1371	14833	-1
6	8372	5882	6607	10755
7	13514	13514	10485	13592
8	15382	14396	6991	1928
9	-1	11062	14858	6372
10	1238	8193	8509	9306
11	4540	13490	3821	4516
12	12412	12499	12757	15462
13	3706	15523	3353	13004
14	6350	11029	5686	11492
15	3364	2289	10576	7624
16	12053	1235	2938	2639
17	12448	14636	15467	15075
18	9305	7009	8603	7009
19	13804	13365	6816	6061
20	13922	10794	1310	13922
21	12953	7995	5983	10235
22	710	7267	1052	9902
23	11417	4780	6413	12763
24	148	4949	24	24
25	12108	15532	7120	8146
26	4971	14022	7648	9156
27	1283	5157	213	12124
28	475	4819	28	28
29	2521	15602	14264	13522
30	15591	8475	12514	4541
31	3434	5281	11117	11412
32	5274	3394	6875	8396
33	11802	6441	7074	7816
34	10546	14082	9615	15523
35	12696	3183	-1	-1
36	15927	11391	8065	3808
37	7243	12193	6323	14185
38	3428	38	38	7586
39	9755	4893	4893	179
40	7739	14771	9627	117
41	8030	2948	4113	9980
42	15200	13590	8050	253
43	7705	1530	15325	8081
44	15536	10715	12317	10715
45	10399	7114	15400	14619
46	13093	2813	5600	4685
47	14140	47	47	7082
48	13657	11171	7808	5410
49	14148	15172	4543	15048
50	6640	778	4908	15123
51	10602	2976	13702	11050
52	5155	1774	11709	12537
53	785	4318	3028	5314
54	9220	11269	15243	11808
55	14461	261	9015	249
56	1557	3567	2169	1171
57	7363	1381	15231	-1
58	9052	10972	11871	12145
59	14375	14558	1285	4842
60	8143	14498	11183	8996
61	1669	14376	7340	7578
62	12517	9184	14321	4720
63	12763	14855	5115	3280
64	5400	13576	5426	15128
65	10996	1117	7734	-1
66	5946	1247	14902	1247
67	2849	7932	884	727
68	10863	13087	7312	6756
69	7994	2127	131	6564
70	6454	196	196	2279
71	10677	7857	6985	8385
72	16080	7737	8267	6359
73	4	2183	6633	14576
74	3773	13564	10335	5547
75	5945	6239	3090	5111
76	1264	6196	2717	6115
77	10849	12623	14849	1297
78	581	6489	12900	3410
79	1692	12039	3737	7531
80	5504	12572	4515	5504
81	15939	3280	81	81
82	14638	14712	226	1534
83	16077	9087	8469	-1
84	12186	9428	8574	8574
85	1428	4238	16094	1428
86	551	15782	15907	-1
87	12538	820	641	9428
88	2908	1513	7535	1279
89	4133	15297	11760	14144
90	4627	904	8560	5054
91	9288	9584	8359	3136
92	2894	3422	6681	5863
93	15546	11275	8314	6532
94	94	94	4083	4471
95	5966	13255	1796	4392
96	9500	14655	1150	3918
97	1731	8252	9588	15597
98	4760	9526	5889	252
99	15151	6893	14187	7125
100	9616	4304	11418	6382
101	14434	10865	11922	1504
102	3645	15949	2671	8133
103	13877	9896	7467	3425
104	104	104	10211	6854
105	3762	7698	14693	3564
106	106	106	4126	15228
107	4696	13630	107	107
108	10606	4887	7743	7743
109	3414	3475	9569	7430
110	8343	11630	2649	8421
111	7270	14336	8676	4340
112	1316	2626	9359	2660
113	754	11001	12399	4832
114	4950	1060	8150	7052
115	115	115	11350	10627
116	3637	5423	14274	8337
117	4170	10790	7838	40
118	1952	1450	8845	9065
119	1488	1300	13437	9142
120	14054	14815	8801	7354
121	2543	15011	1126	7229
122	10998	2594	1351	3617
123	14667	4587	12151	-1
124	6997	1804	1022	2451
125	2834	8860	288	15381
126	14898	9840	8610	12392
127	13676	10915	3692	5696
128	4041	3092	8004	5218
129	8951	10723	9829	3905
130	130	130	6386	13064
131	11242	3013	12804	69
132	13450	10240	4662	15466
133	1780	868	14759	770
134	1272	8128	3798	13443
135	1623	13119	11020	8746
136	8266	15269	5040	9312
137	2590	13668	12647	13903
138	4536	7952	4235	10249
139	8806	15235	12412	5796
140	4631	3957	2003	12613
141	1162	13459	5360	5343
142	9456	6049	12730	12557
143	8805	3067	3851	5692
144	309	14798	2950	4781
145	10757	8195	10184	8913
146	146	146	-1	-1
147	12415	8230	13241	8191
148	1697	24	1282	12673
149	10676	6689	8988	12959
150	5388	2611	13178	7601
151	10030	15372	1178	11716
152	2004	14295	14406	11018
153	5857	5181	3183	14794
154	14826	15220	5647	13093
155	10621	3549	9557	7562
156	13593	14546	6835	10633
157	7902	157	157	3979
158	7970	6232	1804	6716
159	15456	2029	7377	10381
160	10677	10430	8152	2826
161	5134	11111	5134	823
162	13105	701	14185	2269
163	14254	14867	862	12591
164	10377	10854	13017	7094
165	14851	12503	2015	13057
166	1930	5158	3955	2850
167	11254	15049	12121	14406
168	16106	324	8885	3963
169	15191	3699	7596	14002
170	7124	4529	15325	11834
171	6012	8967	8797	12734
172	2417	9629	9457	4714
173	1838	1838	2405	6538
174	3163	14287	6922	12307
175	4463	7368	15503	9218
176	9355	15701	8371	2831
177	11771	5575	10609	14010
178	10672	3491	11575	1096
179	3768	3426	39	6271
180	5493	14599	8622	1210
181	11039	6295	758	6677
182	15694	12675	1144	2203
183	2372	11498	5712	6906
184	9961	15537	12784	2691
185	5041	12341	9511	11511
186	15400	10768	2852	15400
187	187	187	12123	8799
188	11347	6107	14993	10821
189	4644	585	13633	10100
190	2768	11810	9803	9803
191	13698	10359	10254	11928
192	10376	2065	7461	2507
193	16081	11597	1408	-1
194	12453	11897	8327	5937
195	3525	12732	14157	1939
196	14928	14667	70	70
197	1988	9732	8655	9093
198	14785	13716	9847	9142
199	6246	11119	4037	13684
200	4651	8546	9028	-1
201	6093	3660	11234	815
202	13270	7693	8679	10743
203	7418	9669	5939	11383
204	204	204	13221	1503
205	10141	12764	15273	13256
206	2791	9256	10034	3167
207	3528	9082	6025	7583
208	4775	7079	5991	5499
209	2317	9887	10332	11116
210	1137	8390	4862	3375
211	3566	8821	574	12064
212	1171	1814	14943	11254
213	27	3410	5175	7337
214	649	1020	7614	13573
215	6446	8075	14614	13749
216	4154	10416	6891	5271
217	12713	1628	13184	15002
218	4664	11617	11617	8983
219	1998	1317	1317	11815
220	6502	5386	14933	14312
221	11401	3766	7009	14240
222	2651	13488	3273	5968
223	1310	10749	10047	6485
224	11026	12160	4672	4674
225	6297	13186	13897	14587
226	11416	82	11416	957
227	14241	4886	11924	-1
228	10474	13056	14133	3462
229	7574	239	8255	10815
230	14645	1032	5670	10597
231	14832	4956	12606	14663
232	11518	12898	243	15392
233	4833	8668	13579	10235
234	14145	1103	3640	9601
235	8084	9095	15174	4209
236	5958	14260	281	10064
237	11756	2286	11596	14918
238	4973	5113	12188	6720
239	1951	14347	229	14347
240	5741	5392	9889	1342
241	9159	2459	15301	2109
242	4023	13852	8275	6980
243	11286	13512	232	10885
244	10787	11224	5515	11929
245	1250	9055	4438	8957
246	273	13930	8614	14537
247	5914	14821	14059	2330
248	5478	9667	14462	6342
249	13526	8918	55	13951
250	13348	12159	9784	-1
251	3497	3100	15677	468
252	98	2460	12089	1394
253	3859	5644	42	1336
254	10841	12270	12923	14988
255	4335	15748	1322	14119
256	5354	2914	7072	6177
257	15863	9107	3547	11922
258	10295	8771	4359	13642
259	982	6215	1753	14615
260	12686	7980	5174	12871
261	14461	55	10351	8514
262	2200	4857	1710	7489
263	4727	4093	13470	2107
264	12669	7319	4403	2348
265	6959	8394	11025	1609
266	266	266	10844	16098
267	13571	5807	2522	-1
268	14639	1392	11916	10038
269	8505	3408	14932	6091
270	4586	4046	15397	8498
271	14714	5418	14598	11135
272	15017	15646	3022	13024
273	5583	246	1902	-1
274	8568	2059	13569	6209
275	8380	8616	6378	11983
276	12439	11013	276	276
277	15347	3679	9348	14312
278	6424	9334	11770	6560
279	10504	14936	10291	12350
280	10331	10693	4016	9702
281	2529	15975	2540	236
282	1979	8691	11631	591
283	15230	6214	9742	15091
284	5640	12160	5338	5351
285	6268	12437	12263	4934
286	8991	14479	8861	12840
287	506	3893	5742	4128
288	14912	125	8795	12724
289	10175	6873	289	289
290	11941	2636	11773	7761
291	8320	7658	7658	2878
292	13336	10202	12553	6648
293	12236	8279	7138	499
294	15634	865	13088	5988
295	15124	8496	8954	12439
296	7953	7778	6408	7582
297	1722	13867	14609	13867
298	12522	4324	12063	14286
299	14203	6181	12399	15731
300	2456	1325	2456	15742
301	13038	12046	13374	13327
302	929	5586	9567	2644
303	2577	5540	2530	5889
304	7300	9695	11674	10695
305	12766	15981	1258	13932
306	15006	9802	3575	8432
307	13486	12769	10946	15996
308	7121	5951	13539	9312
309	144	1717	1132	11111
310	15129	9909	6064	-1
311	3469	6468	10990	8327
312	4382	1602	7735	14692
313	13308	15509	7035	5431
314	15553	12303	13861	1253
315	15003	619	-1	-1
316	2556	14620	9179	4739
317	4493	470	4493	3409
318	7347	7405	2246	15828
319	5265	3993	11552	-1
320	909	15255	10302	4003
321	13397	13125	11391	1364
322	7752	670	11185	471
323	15018	13463	9930	13408
324	5077	168	13234	6205
325	12442	12605	14700	9050
326	8114	7845	2901	4521
327	4569	8550	8550	14312
328	5405	11426	3095	5700
329	2167	803	5654	3048
330	5536	12336	11660	15457
331	5449	13773	15003	5672
332	2505	11939	14109	9381
333	4368	7529	7529	15559
334	14076	334	334	9240
335	11502	5962	335	335
336	15642	3443	4943	6034
337	6591	3439	2410	7707
338	7302	6718	4974	7114
339	6484	10034	9519	6245
340	10058	1329	1329	7554
341	12177	8794	7750	12177
342	4170	8671	10793	12087
343	9958	7509	8465	11174
344	4820	5576	5518	8104
345	15473	1857	15473	3836
346	13179	4425	3698	8373
347	13536	15574	1846	10830
