18209	-1	20792	-1
37777	-1	-1	-1
232	-1	-1	-1
43985	-1	-1	-1
17538	4	-1	-1
35275	-1	54116	-1
37073	5959	79088	79829
28881	22970	-1	-1
55239	-1	-1	-1
49585	15584	70339	-1
43748	-1	-1	-1
78190	-1	-1	56199
48707	-1	-1	62949
40598	13	-1	-1
50206	-1	-1	-1
73577	-1	-1	-1
29223	-1	-1	-1
2050	-1	-1	-1
47944	-1	-1	23869
64924	-1	-1	-1
41748	-1	-1	-1
54577	-1	-1	-1
78150	-1	-1	-1
5444	-1	-1	-1
41745	-1	-1	-1
35820	-1	-1	-1
62210	-1	-1	-1
30385	-1	-1	-1
11265	44254	-1	-1
40032	4668	-1	-1
12029	-1	-1	45933
50813	-1	-1	-1
50573	-1	-1	-1
13815	-1	-1	-1
61678	-1	-1	-1
5210	-1	-1	-1
70476	-1	-1	-1
20348	-1	-1	-1
43005	-1	-1	46802
8290	-1	-1	-1
15453	-1	-1	-1
13327	-1	-1	-1
77880	-1	21502	-1
29728	-1	-1	-1
73438	44	-1	-1
5741	15352	59734	-1
67979	-1	51749	-1
20887	-1	-1	-1
6083	-1	-1	-1
58344	12390	23093	59082
50356	-1	61251	-1
57956	-1	-1	-1
27079	-1	-1	-1
23611	-1	-1	-1
40693	2153	11583	69357
79078	21607	-1	-1
30665	3829	-1	-1
13426	28062	54966	-1
54825	-1	-1	-1
60846	-1	-1	-1
68575	-1	-1	-1
27917	61	-1	-1
25673	-1	-1	-1
56483	-1	-1	-1
65787	-1	-1	-1
64758	-1	-1	-1
79342	5200	75735	-1
56842	-1	-1	-1
65460	-1	-1	-1
37158	-1	-1	-1
39530	-1	-1	-1
39338	3301	-1	-1
15462	10273	-1	-1
71993	-1	-1	-1
23239	74	-1	-1
13615	-1	-1	-1
80075	-1	-1	-1
24700	-1	-1	-1
70745	-1	-1	-1
63159	-1	-1	-1
44806	-1	-1	-1
8139	-1	-1	-1
64516	7735	23525	24400
46525	-1	-1	-1
37210	-1	78672	-1
10031	54768	69127	-1
51635	-1	-1	43195
10452	-1	-1	-1
57947	-1	-1	36129
38663	-1	-1	-1
79336	35196	52036	-1
60039	-1	-1	-1
80552	-1	-1	-1
38880	-1	-1	-1
21251	-1	-1	-1
45987	-1	-1	28370
28385	96	-1	-1
36197	-1	-1	-1
19744	-1	-1	-1
32960	-1	-1	-1
63333	-1	-1	-1
56383	-1	-1	-1
11575	-1	-1	-1
4106	-1	-1	-1
37579	5964	-1	-1
13346	-1	-1	-1
66816	-1	-1	-1
370	31648	-1	-1
2990	108	-1	-1
13499	109	-1	-1
22216	-1	66033	-1
58434	50958	-1	-1
53096	-1	-1	-1
69574	-1	-1	-1
56528	-1	-1	-1
65859	9580	-1	72419
17787	-1	40659	76508
16135	-1	-1	-1
11388	7755	21520	54906
66740	-1	41174	-1
30796	-1	-1	-1
32692	-1	-1	39209
58955	-1	-1	-1
8628	-1	-1	-1
74255	9397	-1	-1
772	-1	-1	-1
23900	126	-1	-1
30373	-1	-1	-1
42438	21415	-1	45263
11007	33573	41902	-1
27871	1661	-1	-1
30884	2722	63199	-1
57614	-1	-1	56955
50500	-1	-1	-1
37085	13691	-1	-1
37214	135	-1	-1
7609	-1	-1	-1
73331	137	-1	-1
69628	-1	-1	-1
71872	-1	-1	-1
75081	-1	-1	70813
34111	-1	-1	-1
9412	32887	62124	79001
47045	21634	22518	-1
50853	-1	-1	-1
51059	-1	-1	-1
20259	-1	-1	-1
24145	-1	-1	-1
30388	36896	-1	-1
37692	149	73449	-1
5009	-1	-1	-1
28988	-1	-1	-1
9423	-1	-1	-1
34190	-1	-1	-1
36095	-1	27984	-1
23712	-1	-1	-1
77384	-1	-1	-1
8227	5607	-1	-1
66452	-1	-1	-1
5195	-1	-1	-1
4075	-1	-1	-1
68408	-1	-1	-1
50039	-1	-1	-1
79527	163	-1	-1
33346	-1	-1	-1
55041	-1	-1	-1
44710	-1	-1	-1
31969	-1	-1	-1
60482	168	-1	-1
39898	-1	-1	-1
77531	-1	-1	-1
44166	11637	-1	-1
66431	-1	41426	68517
13154	-1	-1	-1
73604	-1	-1	-1
36746	-1	-1	-1
69827	-1	-1	-1
35977	-1	-1	-1
6476	-1	-1	-1
2658	-1	-1	73068
52954	-1	-1	46748
9634	181	-1	-1
6117	1941	5796	-1
33101	-1	-1	-1
56256	184	-1	-1
76691	185	-1	-1
79535	-1	-1	-1
75946	-1	-1	55740
51856	-1	-1	-1
4196	-1	-1	-1
70100	-1	-1	-1
27764	-1	-1	-1
20622	192	-1	-1
57719	-1	-1	-1
57016	-1	-1	-1
31781	-1	-1	-1
79108	-1	-1	-1
26523	28538	-1	-1
80049	-1	-1	-1
6343	-1	-1	-1
33209	-1	-1	-1
9577	-1	-1	-1
1357	-1	-1	-1
68327	-1	-1	-1
65209	57916	-1	-1
12041	-1	61745	73479
67292	-1	-1	-1
54639	-1	-1	-1
6706	-1	-1	-1
10564	-1	-1	-1
77629	-1	-1	38740
62972	-1	-1	-1
18763	-1	-1	-1
69716	-1	-1	-1
30425	-1	-1	-1
54349	-1	35386	-1
43406	-1	-1	-1
7550	26087	-1	-1
35096	-1	-1	-1
61998	-1	21829	-1
62172	-1	-1	-1
31839	6460	61416	-1
18410	14205	-1	-1
24747	20525	-1	-1
30099	-1	-1	-1
68666	-1	-1	-1
23927	-1	-1	-1
79735	-1	-1	-1
11148	-1	53848	-1
71533	-1	-1	-1
67496	-1	46904	53214
39515	-1	-1	-1
16276	-1	-1	79950
32479	-1	-1	-1
42325	-1	-1	-1
59454	12185	-1	-1
11790	13478	-1	58005
63934	-1	-1	-1
66128	-1	-1	-1
59776	239	-1	-1
2569	-1	26717	-1
63270	-1	-1	-1
70876	18814	61576	-1
28054	243	-1	-1
22574	-1	-1	-1
34016	-1	-1	-1
65428	-1	-1	-1
64030	-1	-1	-1
60119	248	-1	-1
5137	12823	-1	-1
10840	-1	-1	-1
76511	251	8179	-1
46778	-1	-1	-1
36353	-1	-1	-1
3936	-1	-1	-1
24101	-1	-1	-1
46846	-1	-1	-1
1064	-1	-1	-1
38268	-1	-1	-1
76073	-1	-1	-1
10483	-1	-1	-1
61886	15795	-1	-1
